skill_code,coa_requirement_key,validation_rule,exclusions
regional_pnb_lower_popliteal,coa.skill.regional.actual_administration_total,performed_by_srna=true,Popliteal sciatic counts toward regional actual administration total.
regional_pnb_lower_ankle,coa.skill.regional.peripheral_block,performed_by_srna=true,Ankle block counts toward peripheral block total.
regional_pnb_lower_ankle,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Ankle block – lower extremity anesthesia subcategory.
regional_pnb_lower_ankle,coa.skill.regional.actual_administration_total,performed_by_srna=true,Ankle block counts toward regional actual administration total.
regional_other_tap,coa.skill.regional.other_total,performed_by_srna=true,TAP block – truncal regional technique.
regional_other_tap,coa.skill.regional.actual_administration_total,performed_by_srna=true,TAP block counts toward regional actual administration total.
regional_other_rectus_sheath,coa.skill.regional.other_total,performed_by_srna=true,Rectus sheath block – truncal regional technique.
regional_other_rectus_sheath,coa.skill.regional.actual_administration_total,performed_by_srna=true,Rectus sheath counts toward regional actual administration total.
regional_other_pecs,coa.skill.regional.other_total,performed_by_srna=true,PECS/Serratus block – chest wall regional technique.
regional_other_pecs,coa.skill.regional.actual_administration_total,performed_by_srna=true,PECS/Serratus counts toward regional actual administration total.
regional_other_paravertebral,coa.skill.regional.other_total,performed_by_srna=true,Paravertebral block – truncal regional technique.
regional_other_paravertebral,coa.skill.regional.actual_administration_total,performed_by_srna=true,Paravertebral counts toward regional actual administration total.
arterial_line,coa.skill.arterial.line_placement,performed_by_srna=true and successful=true,Arterial puncture/catheter insertion; unsuccessful attempts do not count.
arterial_monitoring,coa.skill.arterial.monitoring,performed_by_srna=true,Counts when arterial line used for monitoring in case and managed by student.
cvc_nonpicc,coa.skill.cvc.nonpicc_placement,performed_by_srna=true and successful=true and line_type!=PICC,Non-PICC only; introducer qualifies.
cvc_monitoring,coa.skill.cvc.monitoring,performed_by_srna=true,Monitoring CVC waveforms; PAC RA pressure monitoring excluded.
picc,coa.skill.picc.placement,performed_by_srna=true and successful=true,PICC does not count for non-PICC CVC placement.
pac_placement,coa.skill.pac.placement,performed_by_srna=true and successful=true,PAC placement tracked separately from CVC.
pac_monitoring,coa.skill.pac.monitoring,performed_by_srna=true,PAC monitoring category.
iv_peripheral,coa.skill.iv.placement,performed_by_srna=true and successful=true,Peripheral IV placement.
us_guided_regional,coa.skill.ultrasound.guided_regional,performed_by_srna=true,Regional ultrasound guidance.
us_guided_vascular,coa.skill.ultrasound.guided_vascular,performed_by_srna=true,Vascular ultrasound guidance includes arterial/CVC/PICC/peripheral access.
pocus,coa.skill.pocus,performed_by_srna=true,POCUS excludes ultrasound image guidance for line/block placement.
regional_pnb_upper_suprascapular,coa.skill.regional.peripheral_block,performed_by_srna=true,Suprascapular block counts toward peripheral block total.
regional_pnb_upper_suprascapular,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Suprascapular – upper extremity anesthesia subcategory.
regional_pnb_upper_suprascapular,coa.skill.regional.actual_administration_total,performed_by_srna=true,Suprascapular counts toward regional actual administration total.
regional_pnb_upper_wrist,coa.skill.regional.peripheral_block,performed_by_srna=true,Wrist block counts toward peripheral block total.
regional_pnb_upper_wrist,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Wrist block – upper extremity anesthesia subcategory.
regional_pnb_upper_wrist,coa.skill.regional.actual_administration_total,performed_by_srna=true,Wrist block counts toward regional actual administration total.
regional_pnb_upper_digital,coa.skill.regional.peripheral_block,performed_by_srna=true,Digital block counts toward peripheral block total.
regional_pnb_upper_digital,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Digital block – upper extremity anesthesia subcategory.
regional_pnb_upper_digital,coa.skill.regional.actual_administration_total,performed_by_srna=true,Digital block counts toward regional actual administration total.
regional_pnb_upper_median_elbow,coa.skill.regional.peripheral_block,performed_by_srna=true,Median nerve at elbow counts toward peripheral block total.
regional_pnb_upper_median_elbow,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Median nerve at elbow – upper extremity anesthesia subcategory.
regional_pnb_upper_median_elbow,coa.skill.regional.actual_administration_total,performed_by_srna=true,Median nerve at elbow counts toward regional actual administration total.
regional_pnb_upper_ulnar_elbow,coa.skill.regional.peripheral_block,performed_by_srna=true,Ulnar nerve at elbow counts toward peripheral block total.
regional_pnb_upper_ulnar_elbow,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Ulnar nerve at elbow – upper extremity anesthesia subcategory.
regional_pnb_upper_ulnar_elbow,coa.skill.regional.actual_administration_total,performed_by_srna=true,Ulnar nerve at elbow counts toward regional actual administration total.
regional_pnb_upper_radial_elbow,coa.skill.regional.peripheral_block,performed_by_srna=true,Radial nerve at elbow counts toward peripheral block total.
regional_pnb_upper_radial_elbow,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Radial nerve at elbow – upper extremity anesthesia subcategory.
regional_pnb_upper_radial_elbow,coa.skill.regional.actual_administration_total,performed_by_srna=true,Radial nerve at elbow counts toward regional actual administration total.
regional_pnb_upper_unspecified,coa.skill.regional.peripheral_block,performed_by_srna=true,Unspecified upper extremity PNB counts toward peripheral block total.
regional_pnb_upper_unspecified,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Unspecified upper extremity PNB – anesthesia subcategory.
regional_pnb_upper_unspecified,coa.skill.regional.actual_administration_total,performed_by_srna=true,Unspecified upper extremity PNB counts toward regional actual administration total.
regional_pnb_lower_saphenous,coa.skill.regional.peripheral_block,performed_by_srna=true,Saphenous nerve block counts toward peripheral block total.
regional_pnb_lower_saphenous,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Saphenous nerve – lower extremity anesthesia subcategory.
regional_pnb_lower_saphenous,coa.skill.regional.actual_administration_total,performed_by_srna=true,Saphenous nerve counts toward regional actual administration total.
regional_pnb_lower_ipack,coa.skill.regional.peripheral_block,performed_by_srna=true,iPACK block counts toward peripheral block total.
regional_pnb_lower_ipack,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,iPACK – lower extremity anesthesia subcategory.
regional_pnb_lower_ipack,coa.skill.regional.actual_administration_total,performed_by_srna=true,iPACK counts toward regional actual administration total.
regional_pnb_lower_lfcn,coa.skill.regional.peripheral_block,performed_by_srna=true,Lateral femoral cutaneous nerve block counts toward peripheral block total.
regional_pnb_lower_lfcn,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Lateral femoral cutaneous – lower extremity anesthesia subcategory.
regional_pnb_lower_lfcn,coa.skill.regional.actual_administration_total,performed_by_srna=true,Lateral femoral cutaneous counts toward regional actual administration total.
regional_pnb_lower_obturator,coa.skill.regional.peripheral_block,performed_by_srna=true,Obturator nerve block counts toward peripheral block total.
regional_pnb_lower_obturator,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Obturator nerve – lower extremity anesthesia subcategory.
regional_pnb_lower_obturator,coa.skill.regional.actual_administration_total,performed_by_srna=true,Obturator nerve counts toward regional actual administration total.
regional_pnb_lower_fascia_iliaca,coa.skill.regional.peripheral_block,performed_by_srna=true,Fascia iliaca block counts toward peripheral block total.
regional_pnb_lower_fascia_iliaca,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Fascia iliaca – lower extremity anesthesia subcategory.
regional_pnb_lower_fascia_iliaca,coa.skill.regional.actual_administration_total,performed_by_srna=true,Fascia iliaca counts toward regional actual administration total.
regional_pnb_lower_genicular,coa.skill.regional.peripheral_block,performed_by_srna=true,Genicular nerve block counts toward peripheral block total.
regional_pnb_lower_genicular,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Genicular nerve block – lower extremity anesthesia subcategory.
regional_pnb_lower_genicular,coa.skill.regional.actual_administration_total,performed_by_srna=true,Genicular nerve block counts toward regional actual administration total.
regional_pnb_lower_posterior_tibial,coa.skill.regional.peripheral_block,performed_by_srna=true,Posterior tibial nerve block counts toward peripheral block total.
regional_pnb_lower_posterior_tibial,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Posterior tibial nerve – lower extremity anesthesia subcategory.
regional_pnb_lower_posterior_tibial,coa.skill.regional.actual_administration_total,performed_by_srna=true,Posterior tibial nerve counts toward regional actual administration total.
regional_pnb_lower_unspecified,coa.skill.regional.peripheral_block,performed_by_srna=true,Unspecified lower extremity PNB counts toward peripheral block total.
regional_pnb_lower_unspecified,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Unspecified lower extremity PNB – anesthesia subcategory.
regional_pnb_lower_unspecified,coa.skill.regional.actual_administration_total,performed_by_srna=true,Unspecified lower extremity PNB counts toward regional actual administration total.
regional_other_tap_subcostal,coa.skill.regional.other_total,performed_by_srna=true,Subcostal TAP block – truncal regional technique.
regional_other_tap_subcostal,coa.skill.regional.actual_administration_total,performed_by_srna=true,Subcostal TAP counts toward regional actual administration total.
regional_other_serratus,coa.skill.regional.other_total,performed_by_srna=true,Serratus anterior plane block – chest wall regional technique.
regional_other_serratus,coa.skill.regional.actual_administration_total,performed_by_srna=true,Serratus anterior counts toward regional actual administration total.
regional_other_esp,coa.skill.regional.other_total,performed_by_srna=true,Erector spinae plane (ESP) block – truncal regional technique.
regional_other_esp,coa.skill.regional.actual_administration_total,performed_by_srna=true,ESP counts toward regional actual administration total.
regional_other_ql,coa.skill.regional.other_total,performed_by_srna=true,Quadratus lumborum (QL) block – truncal regional technique.
regional_other_ql,coa.skill.regional.actual_administration_total,performed_by_srna=true,QL block counts toward regional actual administration total.
regional_other_ilioinguinal,coa.skill.regional.other_total,performed_by_srna=true,Ilio-inguinal/iliohypogastric block – truncal regional technique.
regional_other_ilioinguinal,coa.skill.regional.actual_administration_total,performed_by_srna=true,Ilio-inguinal/iliohypogastric counts toward regional actual administration total.
regional_other_genitofemoral,coa.skill.regional.other_total,performed_by_srna=true,Genitofemoral nerve block – truncal regional technique.
regional_other_genitofemoral,coa.skill.regional.actual_administration_total,performed_by_srna=true,Genitofemoral counts toward regional actual administration total.
regional_other_tfp,coa.skill.regional.other_total,performed_by_srna=true,Transversalis fascia plane block – truncal regional technique.
regional_other_tfp,coa.skill.regional.actual_administration_total,performed_by_srna=true,Transversalis fascia plane counts toward regional actual administration total.
regional_other_unspecified,coa.skill.regional.other_total,performed_by_srna=true,Unspecified truncal/other regional technique.
regional_other_unspecified,coa.skill.regional.actual_administration_total,performed_by_srna=true,Unspecified truncal counts toward regional actual administration total.
regional_headneck,coa.skill.regional.other_total,performed_by_srna=true,Head/neck/ophthalmic block – regional other category.
regional_headneck,coa.skill.regional.actual_administration_total,performed_by_srna=true,Head/neck block counts toward regional actual administration total.
regional_headneck_scalp,coa.skill.regional.other_total,performed_by_srna=true,Scalp block – head/neck regional technique.
regional_headneck_scalp,coa.skill.regional.actual_administration_total,performed_by_srna=true,Scalp block counts toward regional actual administration total.
regional_headneck_occipital,coa.skill.regional.other_total,performed_by_srna=true,Greater occipital nerve block – head/neck regional technique.
regional_headneck_occipital,coa.skill.regional.actual_administration_total,performed_by_srna=true,Greater occipital nerve counts toward regional actual administration total.
regional_headneck_cervical_superficial,coa.skill.regional.other_total,performed_by_srna=true,Superficial cervical plexus block – head/neck regional technique.
regional_headneck_cervical_superficial,coa.skill.regional.actual_administration_total,performed_by_srna=true,Superficial cervical plexus counts toward regional actual administration total.
regional_headneck_cervical_deep,coa.skill.regional.other_total,performed_by_srna=true,Deep cervical plexus block – head/neck regional technique.
regional_headneck_cervical_deep,coa.skill.regional.actual_administration_total,performed_by_srna=true,Deep cervical plexus counts toward regional actual administration total.
regional_headneck_retrobulbar,coa.skill.regional.other_total,performed_by_srna=true,Retrobulbar/peribulbar block – ophthalmic regional technique.
regional_headneck_retrobulbar,coa.skill.regional.actual_administration_total,performed_by_srna=true,Retrobulbar/peribulbar counts toward regional actual administration total.
regional_headneck_subtenon,coa.skill.regional.other_total,performed_by_srna=true,Sub-Tenon block – ophthalmic regional technique.
regional_headneck_subtenon,coa.skill.regional.actual_administration_total,performed_by_srna=true,Sub-Tenon block counts toward regional actual administration total.
regional_headneck_glossopharyngeal,coa.skill.regional.other_total,performed_by_srna=true,Glossopharyngeal nerve block – airway/head-neck technique.
regional_headneck_glossopharyngeal,coa.skill.regional.actual_administration_total,performed_by_srna=true,Glossopharyngeal nerve counts toward regional actual administration total.
regional_headneck_sup_laryngeal,coa.skill.regional.other_total,performed_by_srna=true,Superior laryngeal nerve block – airway technique.
regional_headneck_sup_laryngeal,coa.skill.regional.actual_administration_total,performed_by_srna=true,Superior laryngeal nerve counts toward regional actual administration total.
regional_headneck_stellate,coa.skill.regional.other_total,performed_by_srna=true,Stellate ganglion block – sympathetic chain technique.
regional_headneck_stellate,coa.skill.regional.actual_administration_total,performed_by_srna=true,Stellate ganglion counts toward regional actual administration total.
regional_headneck_phrenic,coa.skill.regional.other_total,performed_by_srna=true,Phrenic nerve block – diaphragm/shoulder analgesia technique.
regional_headneck_phrenic,coa.skill.regional.actual_administration_total,performed_by_srna=true,Phrenic nerve block counts toward regional actual administration total.
regional_headneck_unspecified,coa.skill.regional.other_total,performed_by_srna=true,Unspecified head/neck/ophthalmic regional technique.
regional_headneck_unspecified,coa.skill.regional.actual_administration_total,performed_by_srna=true,Unspecified head/neck counts toward regional actual administration total.
regional_pnb_lower_adductor_canal,coa.skill.regional.peripheral_block,performed_by_srna=true,Adductor canal block counts toward peripheral block total.
regional_pnb_lower_adductor_canal,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Adductor canal – lower extremity anesthesia subcategory.
regional_pnb_lower_adductor_canal,coa.skill.regional.actual_administration_total,performed_by_srna=true,Adductor canal counts toward regional actual administration total.
regional_pnb_upper_bier,coa.skill.regional.peripheral_block,performed_by_srna=true,Bier Block (IVRA) counts toward peripheral block total.
regional_pnb_upper_bier,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Bier Block (IVRA) – upper extremity anesthesia subcategory.
regional_pnb_upper_bier,coa.skill.regional.actual_administration_total,performed_by_srna=true,Bier Block (IVRA) counts toward regional actual administration total.
